"","AKT1","AKT2","AKT3","PIK3CA","PIK3CB","PIK3CD","PIK3R1","PIK3R2","FOXO1A","FOXO3A","MLLT7","PIK3CG","PDPK1","IRS1","SRC","GAB1","PTEN","IGF1R","PDGFRA","PDGFRB","EGFR","ERBB2","ERBB3","FGFR1","FGFR2","MET","NRAS","HRAS","KRAS","ARAF","BRAF","RAF1","GRB2","NF1","CBL","SPRY2","CDKN2A","CDKN2C","CDKN2B","CCND1","CCND2","CDK4","CDK6","RB1","MDM2","MDM4","TP53","PIK3C2B"
"TCGA-06-2557",7.8437754032646,4.08495384168749,4.31662500940679,7.44696324927764,5.68170006419182,5.58293052859013,9.16795770793633,5.29056198567555,7.85664835640576,6.71816419941296,4.96798503983274,5.26150773961397,6.05653866004094,6.53525496477807,4.83908544716341,6.49959191571786,5.97280059810825,6.83322385119,7.32143214927421,6.43857385528556,9.49502851120407,5.44105426153006,6.64999650584741,5.80700413308221,5.75217797793243,4.4119368481424,7.77679313995609,7.23144782058943,8.89526296491769,6.98495155880286,4.53486506687723,8.64156218213684,8.79602782187616,5.61588317301881,4.44515393340191,9.966767261206,6.54896344805906,9.51398487223182,3.86061682339505,7.72627918325269,8.96023875967592,9.70740895187911,4.81786244237545,7.15379986354206,4.69787611740122,3.90215703047187,5.88207654972975,7.48483420066695
"TCGA-06-2558",7.38773061774573,4.05635789594417,4.13068744122386,7.14870387836332,4.60348361620018,5.17894061418839,8.8087300294374,5.35687680215166,6.60313686565287,6.47943441508699,4.97903628733251,4.42755556679851,6.0321447960489,6.49365758644999,4.75397710826833,6.81945875676426,6.1372729234909,5.74836649202163,8.70349575938044,7.58651718848258,6.28858900124516,4.7019609358533,8.37730665953942,5.93460980877384,5.42337395974909,4.64894219341392,8.9331065638362,7.18728667229143,9.25168581154785,6.60484422839524,4.85429553091402,8.54327507266447,9.02702382623666,5.68806468767859,4.36857253463633,7.95316715427466,8.17159158224908,8.9481360238138,3.92685209185729,8.0840307634771,8.42052297807074,13.070244298279,4.0050844680967,6.84367861585328,4.32955233581001,3.91388427166567,5.96440230233693,7.84526683309703
"TCGA-06-2559",7.87220254575372,3.96632704235138,4.02883247069783,7.52589341214288,5.31120214520336,4.97576900480231,9.02199386899507,5.19911500404611,7.99496925958437,7.06648456289457,4.88008915065725,4.08752548204183,5.91690003775936,6.3893717781313,4.66062346155259,6.9181623557224,6.67776361477177,7.23746775610064,11.7979364492872,6.95863926349288,6.77793972491637,4.89622993109446,5.50766859975883,6.65578334770872,5.20765336044103,4.8248467013322,8.59999408663136,7.2545324358888,9.04207246692382,6.4081519349311,5.1674590334546,8.65705900442891,8.56253824044923,5.91824790280554,4.37437143700946,9.43215152511153,8.89037756582706,8.9165464745377,4.15273851016738,8.23842179625855,9.44101258263015,13.3752608782749,4.31530437613372,6.3164436821749,4.39493834933488,4.0529814028961,6.56385272418891,7.53988058780485
"TCGA-06-2566",7.35283994636007,4.10693284431485,4.2673977938752,7.77431232823353,5.26103349128609,4.97978347716114,8.63324192999281,5.02349972381496,6.54817222344657,6.879000678252,5.10108555097663,4.41428548115645,5.89424667945346,6.63177233204339,4.57389388250953,5.57730423158003,6.17826714262673,7.8195083603748,6.02617236128417,7.03244969785846,5.08443519990103,5.45307604545805,5.82981330322093,6.24307807867249,5.15047401117802,4.74798262827908,7.74700935402863,7.1036910444911,8.90369423385705,7.39408006859643,4.72455975346152,8.12672621079423,8.55000082442329,5.64222360506661,4.1311063348606,10.6048888966265,4.63957211771065,8.49258633571364,3.85037218986945,6.20775135137408,8.2263544192429,9.77377698731174,4.02212818160723,6.54215005538272,4.39686526494044,3.79499980743691,6.32426104405892,7.19011809633299
"TCGA-06-2567",7.60660401491554,4.03710635975815,4.26612039863073,7.09888635027077,5.99822396029725,5.12662886002764,8.09960031464845,5.13270712472516,7.57914603299652,6.93755440944058,4.91346833770793,4.6255862294631,6.13821038686674,7.69779341653766,4.84836772992554,7.30972169381009,6.46313954852856,7.12702767295388,7.6112924285097,6.54241057924299,7.6647341540288,5.66272356508443,5.35790297431949,5.58627882850909,5.46901759622985,5.42982313933895,8.02552519552767,7.18719558941151,8.90475514695576,7.21861348917968,4.78844045196536,8.56324911595908,8.47313903894497,5.76940617785803,4.56345849316902,9.2554971602269,6.93889128785352,5.47108599294787,3.66670207641708,6.67974724688158,6.79747184859923,10.2745992516967,3.80437083817449,6.92402577213028,4.47580676714249,3.902577525843,6.82272952564674,6.7515109614264
"TCGA-12-0670",6.87484086523851,4.1933421701644,3.90452079319207,5.29702581663713,4.1473731050721,4.73951126985921,8.6454149136245,4.83507756725831,7.96101633101678,6.50536963608178,5.2960988406926,4.14913060197226,5.958868882728,5.25024708765556,4.86684301792582,5.13065052500453,5.15921708671607,6.70038373008714,7.49894340478432,6.33287436569179,9.67388980968778,5.24093861683967,5.58731788580774,5.44790967309335,5.14656743279197,4.70019627600474,7.48189068590116,7.81847500564441,8.3944694982586,6.70450030322825,4.30036121917181,7.83205276489626,8.4916637654048,5.53307469453971,4.10254843629842,8.91591866583245,6.14368214999323,9.5152700845572,4.35872644481152,5.76642103451992,7.76736039047144,12.0494146881609,4.03763961412602,6.25153803091003,5.50678189287756,3.90972492714057,5.84414428583776,6.27809506729269
"TCGA-12-0820",8.1465672774233,4.2086974107655,4.29976699019602,6.43623955049946,4.9088036998827,5.10453636984373,8.59444295517221,5.55624747922444,8.2773789291376,7.02309730068321,4.85945355348704,3.96956885637659,6.33470401582752,5.24184818855312,5.15530850814604,5.1502683798308,5.48971189110861,6.42418782178651,7.68055729859926,8.016470136809,6.16709437295075,4.77322182521258,4.70097493469543,6.08344556571213,5.24361767815534,4.4116242527034,7.61689092819695,8.23251856770098,9.07252566988588,6.56895113785014,4.55836780915794,8.32806868496358,8.53042229290767,5.50223951032065,4.29313187745459,9.96943061410374,7.09947559302721,8.45218417003261,4.15785975370123,4.8101397274056,12.1464869495766,12.85154061019,3.90936181772545,6.16823475988191,5.12646864228026,3.91801937156026,6.19946462163856,8.07149231407927
"TCGA-12-0821",7.00370233139946,4.10625685155092,3.88123366584697,6.86302858702073,4.13898137957804,4.91067438422166,9.50257435187036,5.21551448509421,8.19264724922173,6.77217621653724,5.0746238065291,3.88782906237567,6.18738545219842,4.33890826680253,4.71321553417887,5.33167143890217,5.12718137235746,7.47315464969579,6.86988654621804,7.24786204993043,6.5764660090724,5.38043054603837,5.49437928818106,5.54843177977494,5.31713172096155,4.56835116719969,8.41294850517682,7.53851683643941,9.39451856207994,6.73165588021635,4.35486919985906,8.39790659938889,8.83138727411472,5.34193708379811,4.05646556328932,10.0944913967798,4.49945664068925,8.79842285329426,4.08662396953966,6.5085539157504,8.70553357242669,10.0595357431401,4.04610750796861,6.84475412448689,4.4544746400538,4.52784886572089,7.13861163570737,7.60083644437505
"TCGA-12-0822",6.7072489536482,4.12013644820574,3.85551068126779,5.90172011914541,4.20568826538686,5.39072172094565,8.37023495602748,4.86586152549834,7.75574466379739,5.29271761582286,4.94176369382104,4.628347858507,5.7305781418902,5.96929675063933,4.48296166040647,4.46481306912839,5.56918936389984,5.83591932617651,6.51591863625231,6.46034240136083,5.45317993815751,5.59264374309685,4.81591182288429,5.24142358944119,4.96343279462896,5.75236135086773,7.8464222725282,7.08541216062968,8.76169324983688,6.1051130765109,4.71537700141401,7.47290956619679,9.12469939303873,4.96650342764875,4.30015870035278,10.0185233227327,5.07030801875457,7.6357902894077,4.24009210699507,5.22242259169173,7.28480419504277,9.30656419769887,4.03709814656895,7.25135584841153,4.62520985209078,3.65283698785745,5.86669447847836,5.8697170492555
"TCGA-12-0826",7.6948825089189,4.34445209569203,4.13955463104305,6.90727899480259,4.48513685985152,4.88726533970797,8.96574818161229,5.12337675416363,8.7440331142665,6.84946991187637,5.10746645039857,4.18829892132449,6.02280852930282,5.87924407602534,4.71268442054694,4.77934234182897,6.32453464682903,6.40495598999424,6.6972201056098,7.36082150444355,7.00699046982566,4.55968131251184,4.49420030074208,5.36285374643233,5.25172654607104,5.43935965826917,8.06130493347402,7.6600819857792,9.13445091903863,6.90691609467754,4.47938618206023,7.84045149698135,8.52988958309748,5.30645489305401,4.0506459754767,10.1557037951959,6.48785659005233,8.30323475887924,4.10019327703602,5.10577857747486,8.5319531105418,12.4940253208874,4.06807186039043,6.6399731314798,6.65055032512674,3.74049064331098,6.1598807272411,6.54796449770342
